#puzzles:,1,10,100,1000,10000,100000
qqwing,0:00.30,0:00.31,0:00.70,0:01.69,0:05.10,0:33.52
rust,0:00.01,0:00.03,0:00.21,0:02.09,0:23.46,3:56.10
scala,0:00.78,0:01.10,0:03.36,0:13.74,1:58.69,19:20.95
