#puzzles:,1,10,100,1000,10000,100000
qqwing,0:00.29,0:00.30,0:00.30,0:00.51,0:01.11,0:04.11
rust,0:00.01,0:00.01,0:00.03,0:00.28,0:03.05,0:29.95
scala,0:00.43,0:00.57,0:00.68,0:02.23,0:12.41,2:44.73
