#puzzles:,1,10,100,1000,10000,100000
golang,0:00.00,0:00.00,0:00.10,0:00.50,0:05.86,0:39.92
qqwing,0:00.28,0:00.28,0:00.29,0:00.50,0:01.11,0:04.48
rust,0:00.16,0:00.15,0:00.22,0:00.47,0:03.46,0:27.15
scala,0:00.37,0:00.40,0:00.52,0:01.02,0:07.07,0:42.54
scalanative,0:00.00,0:00.01,0:00.21,0:00.93,0:11.49,1:13.08
