#puzzles:,1,10,100,1000,10000,100000
qqwing,0:00.29,0:00.30,0:00.32,0:00.53,0:00.97,0:04.31
rust,0:00.16,0:00.19,0:00.39,0:00.66,0:05.81,0:28.59
scala,0:00.60,0:00.57,0:01.32,0:02.26,0:25.05,2:38.24
