#puzzles:,1,10,100,1000,10000,100000
qqwing,0:00.30,0:00.29,0:00.32,0:00.53,0:01.12,0:04.54
rust,0:00.01,0:00.06,0:00.21,0:00.52,0:08.13,0:55.15
scala,0:00.49,0:00.54,0:01.26,0:02.05,0:25.70,2:39.35
