#puzzles:,1,10,100,1000,10000,100000
qqwing,0:00.49,0:00.31,0:00.34,0:00.52,0:01.13,0:04.53
rust,0:00.01,0:00.01,0:00.09,0:00.36,0:06.86,0:58.73
scala,0:00.59,0:00.47,0:00.75,0:01.52,0:19.22,2:44.26
