#puzzles:,1,10,100,1000,10000,100000
qqwing,0:00.29,0:00.29,0:00.31,0:00.50,0:00.92,0:04.31
rust,0:00.01,0:00.01,0:00.05,0:00.32,0:03.05,0:32.60
scala,0:00.74,0:00.80,0:01.54,0:03.11,0:15.28,2:10.63
