#puzzles:,1,10,100,1000,10000,100000
qqwing,0:00.29,0:00.30,0:00.31,0:00.51,0:00.95,0:04.12
rust,0:00.01,0:00.01,0:00.06,0:00.39,0:03.08,0:29.90
scala,0:00.44,0:00.57,0:00.87,0:01.97,0:13.12,1:54.34
