#puzzles:,1,10,100,1000,10000,100000
qqwing,25572,27896,28752,35692,52536,175428
rust,1888,1816,1932,1860,1940,1860
scala,46476,102512,184852,179924,183600,183340
scalanative,7252,8592,8680,8616,8716,8612
