#puzzles:,1,10,100,1000,10000,100000
golang,0:00.00,0:00.00,0:00.10,0:00.48,0:05.86,0:40.41
qqwing,0:00.28,0:00.28,0:00.28,0:00.50,0:00.89,0:03.90
rust,0:00.15,0:00.14,0:00.18,0:00.39,0:03.52,0:25.07
scala,0:00.37,0:00.40,0:00.54,0:00.99,0:06.85,0:42.51
scalanative,0:00.00,0:00.00,0:00.23,0:00.92,0:11.12,1:13.63
